sex,length,diameter,shuckedweight,shellweight,class
M,0.575,0.435,0.432,0.239,10
M,0.575,0.455,0.4685,0.295,11
M,0.575,0.445,0.3795,0.27,10
M,0.575,0.475,0.3665,0.269,9
F,0.58,0.45,0.4035,0.225,9
F,0.58,0.5,0.37,0.3005,10
M,0.595,0.455,0.4315,0.223,10
M,0.6,0.46,0.456,0.329,11
M,0.6,0.475,0.386,0.3105,10
F,0.6,0.465,0.466,0.298,11
I,0.605,0.49,0.482,0.352,10
F,0.605,0.455,0.334,0.3,9
M,0.61,0.48,0.4375,0.27,8
F,0.61,0.46,0.478,0.2985,10
F,0.61,0.46,0.4255,0.265,8
F,0.61,0.47,0.566,0.294,11
M,0.615,0.47,0.4435,0.285,11
M,0.615,0.47,0.4975,0.2685,9
F,0.615,0.495,0.5815,0.3225,12
M,0.615,0.495,0.564,0.3885,10
M,0.62,0.49,0.4605,0.355,9
F,0.62,0.495,0.372,0.34,11
M,0.62,0.47,0.587,0.325,9
M,0.625,0.495,0.487,0.3215,11
M,0.625,0.515,0.5725,0.361,9
M,0.625,0.505,0.52,0.3535,10
F,0.625,0.52,0.4845,0.375,11
F,0.625,0.47,0.475,0.265,11
M,0.63,0.49,0.63,0.289,9
F,0.635,0.485,0.5635,0.3395,11
F,0.635,0.52,0.5065,0.412,11
F,0.635,0.505,0.594,0.345,11
M,0.635,0.5,0.6535,0.365,12
M,0.635,0.515,0.5055,0.3535,10
M,0.64,0.53,0.4765,0.35,11
F,0.64,0.48,0.508,0.34,10
F,0.64,0.515,0.4945,0.41,10
I,0.64,0.49,0.488,0.2925,10
M,0.64,0.49,0.477,0.34,9
F,0.64,0.485,0.6735,0.3255,11
F,0.645,0.51,0.7815,0.4675,12
M,0.645,0.49,0.6525,0.3385,11
F,0.645,0.52,0.616,0.474,16
I,0.65,0.52,0.5495,0.3305,10
F,0.65,0.51,0.483,0.3645,13
F,0.65,0.51,0.531,0.3985,10
F,0.655,0.525,0.5855,0.394,10
M,0.655,0.52,0.53,0.348,9
F,0.66,0.535,0.5925,0.49,10
M,0.66,0.51,0.5055,0.37,11
F,0.665,0.5,0.4625,0.3595,10
M,0.665,0.515,0.5115,0.436,12
M,0.675,0.515,0.556,0.4115,11
M,0.68,0.54,0.7165,0.4715,12
M,0.68,0.54,0.671,0.384,10
M,0.695,0.545,0.6645,0.4505,13
F,0.7,0.575,0.605,0.538,13
F,0.72,0.575,0.732,0.501,12
M,0.72,0.565,1.0815,0.503,11
F,0.725,0.57,0.744,0.488,11
F,0.75,0.55,0.83,0.44,11
M,0.76,0.605,0.801,0.646,13
I,0.135,0.13,0.0125,0.008,4
I,0.29,0.21,0.056,0.03,6
I,0.29,0.21,0.0375,0.03,6
I,0.325,0.25,0.0875,0.04,7
I,0.355,0.27,0.1425,0.0735,9
I,0.36,0.27,0.1065,0.062,6
I,0.36,0.27,0.0905,0.053,7
I,0.375,0.28,0.105,0.065,6
I,0.375,0.275,0.109,0.0605,7
I,0.395,0.29,0.158,0.078,7
I,0.415,0.325,0.1385,0.0925,8
I,0.43,0.32,0.1675,0.105,8
I,0.435,0.325,0.159,0.095,7
M,0.45,0.33,0.2575,0.129,8
M,0.47,0.365,0.2395,0.145,10
I,0.47,0.375,0.167,0.145,10
M,0.505,0.39,0.3315,0.167,9
M,0.505,0.385,0.21,0.1535,10
M,0.515,0.4,0.288,0.168,9
F,0.53,0.43,0.325,0.196,9
F,0.53,0.405,0.2635,0.185,9
M,0.545,0.44,0.356,0.2385,11
F,0.57,0.435,0.3875,0.245,10
M,0.58,0.46,0.513,0.2625,9
M,0.59,0.465,0.5165,0.275,10
F,0.6,0.45,0.37,0.2425,10
M,0.605,0.445,0.4295,0.295,12
F,0.625,0.515,0.5255,0.3925,14
M,0.66,0.515,0.7345,0.386,9
I,0.255,0.19,0.04,0.025,5
I,0.28,0.215,0.072,0.033,5
I,0.285,0.215,0.051,0.027,6
I,0.385,0.28,0.1305,0.0725,8
I,0.395,0.295,0.14,0.082,7
F,0.4,0.305,0.173,0.105,7
I,0.415,0.305,0.165,0.0805,7
I,0.42,0.315,0.1895,0.087,6
I,0.445,0.32,0.152,0.12,8
M,0.45,0.35,0.2075,0.135,8
F,0.455,0.355,0.332,0.1335,8
M,0.46,0.345,0.2435,0.132,8
M,0.465,0.36,0.2665,0.121,7
I,0.465,0.355,0.2005,0.1275,9
I,0.48,0.35,0.2735,0.158,8
M,0.485,0.39,0.25,0.1635,8
I,0.49,0.37,0.271,0.139,8
M,0.5,0.39,0.361,0.2385,9
F,0.5,0.38,0.277,0.1785,8
M,0.525,0.385,0.246,0.1455,8
M,0.535,0.42,0.355,0.1795,8
F,0.535,0.42,0.3125,0.2035,8
F,0.54,0.42,0.368,0.1845,9
M,0.55,0.41,0.4455,0.213,9
I,0.55,0.42,0.2925,0.209,11
F,0.565,0.44,0.393,0.238,9
M,0.58,0.45,0.418,0.2605,8
F,0.58,0.435,0.3485,0.192,7
F,0.585,0.485,0.4145,0.356,11
M,0.595,0.465,0.4335,0.262,9
F,0.62,0.49,0.493,0.2725,9
M,0.65,0.5,0.6165,0.32,8
M,0.685,0.55,0.813,0.49,11
F,0.69,0.54,0.73,0.462,12
F,0.705,0.57,0.747,0.488,10
F,0.72,0.575,0.8565,0.602,12
M,0.775,0.57,0.735,0.6585,17
F,0.505,0.39,0.3045,0.175,8
M,0.53,0.425,0.2995,0.245,10
F,0.505,0.385,0.243,0.21,11
M,0.415,0.3,0.1545,0.095,7
M,0.5,0.39,0.273,0.22,11
M,0.47,0.35,0.1885,0.175,8
F,0.4,0.31,0.1475,0.115,10
I,0.37,0.29,0.1025,0.085,10
M,0.5,0.38,0.2655,0.215,19
I,0.41,0.31,0.124,0.095,9
M,0.375,0.29,0.1175,0.085,9
F,0.49,0.385,0.2175,0.165,11
M,0.585,0.48,0.434,0.285,10
F,0.675,0.55,0.562,0.6,15
M,0.665,0.535,0.7535,0.885,27
M,0.62,0.49,0.5185,0.335,13
I,0.455,0.355,0.2165,0.125,9
I,0.385,0.29,0.0855,0.08,7
I,0.13,0.095,0.005,0.0035,4
I,0.18,0.13,0.0125,0.009,3
I,0.31,0.225,0.0675,0.045,6
F,0.375,0.29,0.1405,0.08,7
F,0.48,0.38,0.2705,0.185,8
I,0.455,0.37,0.201,0.145,9
M,0.425,0.325,0.1365,0.11,7
F,0.435,0.35,0.192,0.13,11
M,0.385,0.295,0.147,0.09,7
M,0.47,0.375,0.1685,0.15,8
F,0.5,0.4,0.2395,0.185,10
M,0.595,0.47,0.359,0.245,12
M,0.585,0.455,0.462,0.295,9
M,0.32,0.24,0.08,0.055,6
F,0.52,0.41,0.2945,0.215,10
F,0.44,0.33,0.143,0.12,8
M,0.565,0.425,0.3055,0.18,12
F,0.56,0.425,0.361,0.335,9
F,0.57,0.465,0.405,0.295,16
M,0.68,0.53,0.5825,0.465,14
F,0.45,0.36,0.222,0.16,10
I,0.32,0.24,0.076,0.05,7
I,0.46,0.35,0.1685,0.125,9
M,0.47,0.37,0.2025,0.155,10
M,0.455,0.35,0.1575,0.135,9
F,0.415,0.325,0.1405,0.11,9
M,0.465,0.35,0.2015,0.185,11
M,0.46,0.375,0.186,0.17,12
M,0.415,0.31,0.1305,0.115,8
F,0.745,0.585,0.8435,0.5855,18
I,0.28,0.2,0.0545,0.035,5
M,0.55,0.44,0.368,0.265,10
M,0.58,0.46,0.473,0.435,16
M,0.61,0.5,0.4915,0.49,12
M,0.62,0.495,0.643,0.725,17
M,0.56,0.42,0.3025,0.285,14
F,0.64,0.51,0.61,0.41,12
F,0.715,0.565,0.7245,0.885,17
F,0.71,0.565,0.785,0.49,11
F,0.55,0.47,0.377,0.29,9
I,0.38,0.28,0.115,0.085,6
F,0.37,0.275,0.104,0.07,5
M,0.285,0.21,0.055,0.04,7
I,0.19,0.13,0.0155,0.01,6
I,0.215,0.15,0.0115,0.01,5
M,0.595,0.465,0.3245,0.23,10
F,0.645,0.5,0.4805,0.355,13
F,0.58,0.45,0.3,0.395,14
F,0.595,0.48,0.358,0.34,15
F,0.625,0.42,0.358,0.445,21
M,0.535,0.42,0.3355,0.26,16
M,0.495,0.4,0.2345,0.35,6
I,0.32,0.235,0.064,0.045,6
M,0.445,0.34,0.193,0.13,9
F,0.52,0.4,0.295,0.185,9
F,0.49,0.37,0.243,0.195,10
M,0.58,0.47,0.3215,0.315,11
M,0.645,0.495,0.5265,0.455,15
I,0.43,0.325,0.1355,0.12,13
I,0.26,0.215,0.037,0.045,5
I,0.37,0.28,0.0905,0.07,11
I,0.405,0.305,0.1565,0.125,10
I,0.27,0.19,0.0265,0.03,6
F,0.68,0.55,0.525,0.585,21
F,0.65,0.515,0.5195,0.44,13
F,0.645,0.49,0.4265,0.51,25
M,0.57,0.405,0.3445,0.295,19
M,0.615,0.48,0.5305,0.47,18
M,0.42,0.345,0.175,0.13,7
M,0.42,0.34,0.175,0.135,8
F,0.625,0.525,0.5115,0.665,16
F,0.55,0.465,0.3245,0.525,27
M,0.565,0.47,0.387,0.35,17
M,0.63,0.51,0.5635,0.57,17
F,0.43,0.325,0.165,0.155,8
I,0.33,0.26,0.0765,0.065,7
M,0.495,0.39,0.3285,0.27,14
F,0.485,0.375,0.2385,0.19,13
F,0.535,0.46,0.3395,0.2,8
F,0.625,0.525,0.4505,0.53,13
F,0.555,0.455,0.296,0.39,14
F,0.55,0.425,0.297,0.265,9
M,0.59,0.475,0.356,0.28,13
I,0.355,0.28,0.0815,0.08,7
I,0.275,0.2,0.0305,0.03,7
M,0.37,0.28,0.0805,0.075,7
F,0.56,0.445,0.3575,0.295,9
F,0.57,0.45,0.3305,0.295,14
F,0.56,0.435,0.422,0.33,15
M,0.585,0.465,0.3905,0.4,17
I,0.46,0.335,0.225,0.11,8
F,0.46,0.36,0.2105,0.16,8
M,0.415,0.315,0.068,0.125,12
F,0.435,0.32,0.152,0.125,11
I,0.355,0.28,0.0935,0.085,11
M,0.46,0.375,0.192,0.205,9
F,0.38,0.325,0.12,0.105,10
F,0.47,0.365,0.2295,0.15,9
M,0.36,0.27,0.083,0.075,6
F,0.585,0.455,0.345,0.315,12
M,0.655,0.59,0.654,0.415,11
F,0.57,0.46,0.4125,0.38,14
F,0.645,0.5,0.639,0.36,11
M,0.65,0.495,0.8005,0.53,14
M,0.51,0.395,0.216,0.24,12
M,0.52,0.38,0.2505,0.175,8
M,0.495,0.415,0.264,0.285,13
M,0.43,0.335,0.166,0.135,8
M,0.55,0.46,0.3155,0.32,10
M,0.585,0.43,0.3625,0.27,11
I,0.59,0.45,0.2745,0.345,14
F,0.72,0.575,0.8955,0.62,13
F,0.61,0.48,0.391,0.42,15
M,0.57,0.45,0.3725,0.255,12
F,0.6,0.475,0.511,0.32,18
F,0.52,0.41,0.3735,0.25,14
M,0.635,0.51,0.6535,0.58,15
F,0.67,0.52,0.519,0.37,13
M,0.655,0.525,0.487,0.445,20
F,0.62,0.48,0.403,0.355,14
F,0.6,0.475,0.4345,0.425,19
M,0.44,0.375,0.226,0.155,9
I,0.485,0.415,0.25,0.185,8
F,0.495,0.385,0.3125,0.175,10
I,0.435,0.345,0.221,0.125,7
I,0.405,0.315,0.1605,0.1,9
I,0.42,0.33,0.1635,0.1,9
F,0.5,0.395,0.3235,0.195,9
F,0.385,0.305,0.1365,0.1,7
I,0.33,0.265,0.068,0.06,6
I,0.325,0.27,0.08,0.065,6
M,0.475,0.375,0.2525,0.185,10
F,0.38,0.3,0.1545,0.095,9
I,0.34,0.26,0.076,0.055,6
M,0.525,0.425,0.3335,0.22,12
F,0.52,0.415,0.3325,0.285,10
F,0.535,0.45,0.322,0.25,13
M,0.475,0.36,0.2825,0.17,8
I,0.415,0.325,0.167,0.125,7
F,0.48,0.405,0.277,0.21,10
F,0.52,0.425,0.385,0.23,10
M,0.46,0.375,0.2505,0.195,9
F,0.58,0.455,0.399,0.265,11
M,0.59,0.49,0.422,0.285,11
F,0.55,0.415,0.302,0.26,23
F,0.465,0.375,0.2225,0.23,16
M,0.455,0.355,0.2,0.175,11
I,0.315,0.24,0.0545,0.04,8
F,0.58,0.475,0.391,0.275,14
M,0.575,0.435,0.293,0.27,17
F,0.505,0.385,0.251,0.2,12
F,0.505,0.395,0.2695,0.205,15
M,0.49,0.395,0.213,0.215,14
M,0.53,0.435,0.3275,0.22,12
I,0.395,0.325,0.111,0.095,8
F,0.665,0.535,0.5775,0.475,17
F,0.415,0.305,0.12,0.1,10
I,0.48,0.39,0.2315,0.255,15
I,0.42,0.345,0.1515,0.115,9
M,0.59,0.46,0.327,0.335,15
F,0.515,0.42,0.2815,0.215,9
M,0.695,0.55,0.566,0.445,13
F,0.8,0.63,0.933,0.62,23
M,0.655,0.485,0.6275,0.485,17
M,0.64,0.52,0.566,0.455,17
I,0.31,0.24,0.0605,0.045,7
I,0.255,0.185,0.028,0.025,6
I,0.17,0.125,0.009,0.008,6
M,0.67,0.55,0.472,0.4,21
M,0.505,0.4,0.3035,0.2175,11
M,0.525,0.43,0.376,0.2515,16
M,0.59,0.475,0.3815,0.27,19
F,0.72,0.56,0.637,0.525,17
M,0.635,0.495,0.4825,0.31,11
M,0.555,0.44,0.3805,0.28,13
M,0.585,0.455,0.391,0.25,17
F,0.61,0.485,0.535,0.515,20
F,0.645,0.525,0.601,0.505,13
M,0.57,0.475,0.4635,0.305,18
F,0.63,0.505,0.4595,0.315,12
F,0.72,0.595,0.8045,0.66,16
I,0.56,0.44,0.3545,0.3,12
I,0.42,0.325,0.1625,0.105,8
M,0.18,0.125,0.0085,0.01,3
I,0.435,0.335,0.1555,0.135,12
M,0.34,0.275,0.0725,0.07,10
F,0.43,0.34,0.154,0.109,8
I,0.535,0.41,0.2745,0.1815,12
I,0.415,0.325,0.1405,0.106,12
F,0.36,0.265,0.096,0.0735,10
M,0.155,0.115,0.009,0.0075,5
I,0.525,0.43,0.3225,0.215,11
F,0.485,0.365,0.2595,0.177,14
I,0.47,0.35,0.2315,0.1525,11
I,0.515,0.375,0.2495,0.2215,10
M,0.42,0.34,0.165,0.144,11
F,0.455,0.35,0.1585,0.1335,16
M,0.33,0.25,0.085,0.0605,10
I,0.3,0.22,0.057,0.043,7
I,0.625,0.46,0.55,0.38,14
I,0.625,0.465,0.404,0.35,14
I,0.5,0.385,0.3795,0.19,14
F,0.53,0.43,0.35,0.235,17
I,0.445,0.33,0.163,0.17,13
I,0.44,0.355,0.159,0.14,16
M,0.29,0.225,0.0535,0.045,10
I,0.555,0.455,0.309,0.3,15
I,0.655,0.515,0.5265,0.315,15
F,0.58,0.46,0.3515,0.32,10
I,0.625,0.43,0.572,0.395,12
F,0.64,0.5,0.371,0.36,8
I,0.5,0.395,0.2165,0.1785,9
M,0.31,0.245,0.0525,0.048,7
M,0.4,0.315,0.1135,0.113,10
M,0.31,0.235,0.0415,0.04,11
F,0.465,0.35,0.1945,0.155,18
F,0.465,0.36,0.192,0.16,10
I,0.52,0.415,0.2105,0.26,15
F,0.475,0.365,0.1905,0.1475,12
F,0.41,0.315,0.1255,0.095,10
M,0.26,0.2,0.044,0.03,6
I,0.565,0.435,0.2715,0.285,14
F,0.53,0.385,0.289,0.18,10
M,0.34,0.255,0.081,0.07,9
I,0.52,0.38,0.1775,0.185,11
F,0.635,0.5,0.529,0.485,18
F,0.61,0.485,0.4255,0.38,11
F,0.66,0.515,0.54,0.555,16
I,0.635,0.5,0.5485,0.49,16
M,0.515,0.4,0.2515,0.3,23
I,0.335,0.24,0.062,0.055,9
F,0.515,0.4,0.258,0.28,16
F,0.345,0.255,0.071,0.06,9
M,0.465,0.355,0.2025,0.145,13
M,0.54,0.415,0.339,0.255,10
M,0.475,0.355,0.186,0.145,9
F,0.445,0.335,0.1785,0.14,11
M,0.5,0.355,0.2125,0.14,9
M,0.5,0.38,0.2295,0.18,12
I,0.275,0.205,0.036,0.03,6
F,0.35,0.265,0.0745,0.06,7
F,0.37,0.285,0.1125,0.0835,9
F,0.42,0.33,0.186,0.145,10
M,0.35,0.26,0.0725,0.06,10
I,0.325,0.2,0.0395,0.032,8
I,0.275,0.2,0.0385,0.027,5
I,0.235,0.17,0.023,0.022,6
I,0.25,0.185,0.027,0.0225,5
I,0.2,0.145,0.0125,0.011,4
M,0.445,0.35,0.2025,0.19,14
M,0.515,0.405,0.312,0.315,17
M,0.5,0.39,0.275,0.18,11
M,0.51,0.415,0.3025,0.235,16
F,0.37,0.275,0.093,0.07,8
M,0.565,0.44,0.393,0.375,20
M,0.645,0.515,0.6745,0.385,14
F,0.615,0.47,0.5135,0.32,14
M,0.645,0.485,0.5915,0.38,18
M,0.57,0.42,0.377,0.34,13
F,0.52,0.425,0.207,0.24,13
M,0.46,0.36,0.1955,0.235,14
I,0.355,0.26,0.077,0.065,8
F,0.49,0.4,0.21,0.2515,13
M,0.5,0.385,0.246,0.204,14
M,0.49,0.39,0.242,0.1835,15
M,0.44,0.325,0.163,0.113,7
F,0.515,0.395,0.1905,0.3205,10
I,0.42,0.31,0.115,0.085,8
M,0.4,0.305,0.096,0.105,9
M,0.45,0.36,0.174,0.225,12
F,0.52,0.4,0.215,0.17,15
M,0.505,0.4,0.2715,0.285,12
M,0.54,0.41,0.2815,0.355,19
F,0.48,0.39,0.219,0.2,12
F,0.33,0.26,0.0625,0.07,9
I,0.31,0.24,0.118,0.083,6
I,0.34,0.255,0.0745,0.0525,6
I,0.415,0.315,0.175,0.093,6
I,0.42,0.32,0.1745,0.0945,8
M,0.465,0.375,0.21,0.1505,8
F,0.465,0.35,0.259,0.175,8
I,0.47,0.37,0.25,0.163,8
F,0.47,0.375,0.2765,0.135,8
I,0.475,0.365,0.2505,0.1625,10
M,0.5,0.4,0.37,0.211,8
I,0.505,0.39,0.267,0.172,7
M,0.525,0.425,0.4625,0.199,9
M,0.54,0.42,0.392,0.2235,9
M,0.58,0.46,0.48,0.325,11
M,0.59,0.48,0.5685,0.335,9
F,0.6,0.5,0.6235,0.35,8
F,0.6,0.485,0.587,0.288,9
M,0.605,0.475,0.5395,0.309,10
F,0.625,0.49,0.6675,0.33,10
M,0.63,0.5,0.5785,0.384,10
M,0.64,0.585,0.7225,0.471,12
F,0.655,0.545,0.6555,0.513,12
I,0.66,0.525,0.6725,0.4065,11
M,0.66,0.535,0.733,0.54,15
F,0.675,0.555,0.713,0.4535,13
F,0.675,0.55,0.694,0.474,13
F,0.695,0.53,0.75,0.6095,14
F,0.7,0.525,0.707,0.43,10
F,0.73,0.57,1.0685,0.435,10
I,0.205,0.15,0.02,0.013,4
I,0.23,0.18,0.0215,0.02,5
I,0.28,0.21,0.0415,0.031,5
I,0.28,0.22,0.066,0.03,5
I,0.295,0.22,0.0515,0.035,6
I,0.31,0.225,0.065,0.0365,6
I,0.34,0.265,0.0625,0.07,7
I,0.38,0.285,0.115,0.07,6
I,0.39,0.295,0.1155,0.08,7
I,0.415,0.325,0.1445,0.095,7
I,0.44,0.335,0.175,0.111,7
I,0.44,0.345,0.269,0.1305,6
I,0.44,0.325,0.185,0.11,6
I,0.45,0.35,0.2005,0.1325,8
F,0.455,0.35,0.1945,0.1375,7
F,0.46,0.35,0.2025,0.1165,6
I,0.46,0.345,0.198,0.107,7
I,0.46,0.345,0.1895,0.111,6
M,0.465,0.34,0.231,0.1225,9
I,0.475,0.385,0.311,0.136,7
M,0.48,0.37,0.243,0.135,8
M,0.5,0.375,0.274,0.1485,7
I,0.5,0.38,0.218,0.1325,7
I,0.505,0.385,0.239,0.185,7
M,0.515,0.395,0.285,0.172,9
M,0.525,0.425,0.4035,0.195,8
F,0.53,0.42,0.41,0.1505,6
F,0.53,0.405,0.4055,0.215,8
M,0.54,0.435,0.33,0.213,9
F,0.555,0.425,0.44,0.24,7
F,0.57,0.445,0.504,0.2505,9
F,0.57,0.435,0.3905,0.2295,8
M,0.575,0.45,0.429,0.259,7
M,0.59,0.465,0.4695,0.263,7
F,0.595,0.465,0.491,0.287,9
F,0.595,0.465,0.412,0.289,11
F,0.6,0.46,0.3985,0.248,8
F,0.6,0.46,0.6025,0.29,8
M,0.6,0.46,0.5335,0.29,9
M,0.61,0.48,0.564,0.264,8
F,0.615,0.485,0.5005,0.315,10
F,0.615,0.5,0.6,0.355,10
F,0.62,0.51,0.5415,0.3225,9
F,0.62,0.485,0.545,0.345,10
F,0.62,0.475,0.6865,0.3275,9
M,0.625,0.48,0.671,0.3385,10
F,0.625,0.49,0.477,0.3185,9
F,0.63,0.495,0.659,0.38,11
M,0.63,0.48,0.604,0.35,8
F,0.635,0.495,0.617,0.37,11
F,0.635,0.495,0.556,0.37,11
M,0.645,0.49,0.5355,0.3165,9
M,0.645,0.5,0.6735,0.3775,12
F,0.65,0.5,0.741,0.341,9
M,0.67,0.52,0.8115,0.391,9
M,0.69,0.54,0.7725,0.4325,8
M,0.695,0.525,0.696,0.505,12
F,0.705,0.56,0.9915,0.624,10
M,0.765,0.585,1.128,0.5335,12
M,0.77,0.6,1.0515,0.584,10
I,0.22,0.16,0.0215,0.015,4
I,0.29,0.21,0.0415,0.035,5
I,0.33,0.24,0.0745,0.048,6
I,0.375,0.29,0.0925,0.075,6
I,0.415,0.315,0.1765,0.095,8
I,0.425,0.33,0.1315,0.103,6
I,0.44,0.34,0.209,0.103,7
I,0.44,0.335,0.173,0.113,7
I,0.46,0.345,0.1525,0.125,7
I,0.475,0.365,0.2025,0.123,7
I,0.49,0.375,0.279,0.13,8
I,0.5,0.39,0.294,0.1605,8
M,0.5,0.38,0.273,0.145,9
I,0.51,0.395,0.2465,0.167,8
I,0.51,0.385,0.3095,0.1725,8
I,0.515,0.4,0.265,0.168,9
M,0.545,0.42,0.3745,0.205,7
M,0.545,0.42,0.403,0.17,7
I,0.55,0.42,0.294,0.1755,8
F,0.55,0.44,0.434,0.185,8
I,0.555,0.425,0.2835,0.2105,8
F,0.57,0.43,0.3875,0.2285,9
M,0.58,0.455,0.41,0.225,8
F,0.585,0.45,0.467,0.225,7
F,0.585,0.435,0.3085,0.2245,8
M,0.59,0.47,0.413,0.249,8
F,0.595,0.465,0.5415,0.265,8
M,0.595,0.47,0.4915,0.3345,9
M,0.595,0.46,0.4215,0.227,9
F,0.605,0.48,0.4505,0.293,10
M,0.615,0.45,0.707,0.2505,7
M,0.615,0.475,0.4635,0.2725,10
M,0.62,0.49,0.505,0.31,9
M,0.62,0.48,0.4965,0.305,10
M,0.625,0.495,0.7105,0.345,11
F,0.625,0.49,0.484,0.3095,9
M,0.625,0.48,0.4645,0.327,10
M,0.63,0.505,0.6325,0.37,11
M,0.63,0.465,0.537,0.176,8
M,0.645,0.515,0.506,0.335,9
M,0.65,0.515,0.5235,0.3275,9
M,0.65,0.52,0.615,0.336,9
F,0.65,0.535,0.6095,0.344,10
F,0.65,0.49,0.545,0.3055,9
F,0.665,0.505,0.5985,0.36,9
M,0.67,0.5,0.576,0.351,11
M,0.67,0.51,0.926,0.3935,13
F,0.675,0.55,0.7105,0.412,13
M,0.68,0.53,0.7635,0.4025,11
M,0.7,0.525,0.8745,0.47,10
M,0.7,0.55,0.693,0.4405,13
M,0.725,0.55,0.8735,0.5085,9
M,0.735,0.57,0.9095,0.488,11
I,0.19,0.14,0.0125,0.0105,3
I,0.29,0.215,0.0425,0.031,5
I,0.335,0.25,0.0675,0.0575,6
I,0.34,0.245,0.1005,0.053,6
I,0.345,0.255,0.075,0.06,6
I,0.355,0.255,0.078,0.058,7
I,0.37,0.275,0.096,0.058,7
I,0.375,0.29,0.14,0.0825,8
I,0.375,0.275,0.095,0.066,7
I,0.4,0.305,0.176,0.0865,7
I,0.405,0.305,0.0965,0.091,7
I,0.405,0.305,0.1145,0.085,7
I,0.405,0.3,0.138,0.0765,6
I,0.415,0.335,0.169,0.105,7
I,0.42,0.325,0.1295,0.1,8
I,0.42,0.315,0.1855,0.1015,8
I,0.43,0.34,0.159,0.105,7
I,0.445,0.36,0.182,0.14,9
M,0.45,0.325,0.2235,0.1155,8
I,0.45,0.335,0.1615,0.1185,7
I,0.455,0.34,0.261,0.1315,8
I,0.46,0.35,0.252,0.123,8
I,0.475,0.355,0.279,0.1325,7
I,0.485,0.38,0.2215,0.16,8
I,0.485,0.365,0.1895,0.2305,8
I,0.505,0.385,0.245,0.21,9
M,0.515,0.41,0.3065,0.2,7
I,0.515,0.39,0.2415,0.1615,8
I,0.525,0.385,0.2355,0.195,8
F,0.525,0.415,0.329,0.199,10
I,0.525,0.4,0.345,0.2,8
I,0.55,0.425,0.4325,0.236,10
I,0.55,0.42,0.495,0.205,9
I,0.55,0.425,0.257,0.203,10
I,0.55,0.465,0.481,0.2435,9
I,0.555,0.435,0.262,0.24,11
F,0.555,0.445,0.551,0.2785,8
I,0.56,0.44,0.402,0.245,10
F,0.57,0.445,0.5265,0.265,10
F,0.575,0.435,0.4115,0.23,9
M,0.58,0.44,0.5405,0.3265,10
F,0.58,0.465,0.47,0.25,11
I,0.585,0.46,0.339,0.295,10
M,0.585,0.465,0.4025,0.274,10
I,0.585,0.42,0.2895,0.22,9
F,0.585,0.455,0.411,0.225,8
M,0.59,0.47,0.4545,0.254,9
M,0.59,0.475,0.4625,0.275,10
M,0.595,0.475,0.4925,0.278,10
M,0.6,0.48,0.457,0.28,8
M,0.6,0.495,0.5055,0.367,11
M,0.6,0.45,0.4325,0.24,9
M,0.6,0.51,0.6095,0.315,9
M,0.61,0.48,0.6895,0.29,10
F,0.61,0.45,0.389,0.272,11
F,0.615,0.46,0.4935,0.2745,10
F,0.62,0.465,0.6005,0.307,9
M,0.625,0.49,0.5175,0.3465,10
M,0.63,0.505,0.555,0.34,12
F,0.63,0.475,0.452,0.265,10
M,0.63,0.525,0.4935,0.465,10
M,0.64,0.505,0.5565,0.346,11
M,0.64,0.495,0.5395,0.285,10
F,0.64,0.495,0.49,0.2875,11
M,0.64,0.515,0.515,0.175,10
M,0.65,0.52,0.6185,0.365,9
F,0.66,0.505,0.6255,0.3745,9
F,0.66,0.525,0.6525,0.422,11
F,0.675,0.525,0.8365,0.475,9
M,0.7,0.54,0.7885,0.4865,13
M,0.71,0.565,0.706,0.45,11
M,0.72,0.55,1.1055,0.404,10
I,0.255,0.195,0.0285,0.021,4
I,0.275,0.2,0.038,0.026,4
I,0.32,0.235,0.098,0.042,7
I,0.325,0.24,0.072,0.043,6
I,0.33,0.225,0.0945,0.0425,7
I,0.36,0.27,0.12,0.056,8
I,0.375,0.265,0.085,0.0585,5
I,0.39,0.29,0.117,0.077,7
I,0.45,0.335,0.1575,0.1095,7
I,0.455,0.35,0.213,0.1115,7
I,0.46,0.365,0.2365,0.123,7
I,0.495,0.375,0.3075,0.1405,8
M,0.5,0.365,0.309,0.1535,9
F,0.525,0.43,0.4325,0.1815,9
M,0.535,0.405,0.402,0.189,7
F,0.54,0.42,0.38,0.21,9
F,0.54,0.415,0.3875,0.2035,9
F,0.57,0.425,0.3695,0.1965,8
M,0.57,0.42,0.416,0.25,8
M,0.59,0.47,0.6245,0.2595,9
F,0.59,0.455,0.465,0.2765,10
M,0.595,0.435,0.4255,0.31,9
M,0.6,0.45,0.539,0.307,10
M,0.605,0.475,0.59,0.26,10
M,0.625,0.5,0.5785,0.25,8
F,0.625,0.485,0.591,0.3485,9
M,0.63,0.485,0.623,0.3,10
F,0.635,0.51,0.526,0.4105,12
F,0.645,0.49,0.5015,0.319,8
F,0.65,0.525,0.8875,0.405,11
F,0.655,0.515,0.8485,0.331,11
M,0.665,0.515,0.831,0.371,11
M,0.695,0.54,0.768,0.4755,11
F,0.72,0.565,0.723,0.4945,12
M,0.735,0.57,1.1705,0.5315,10
M,0.74,0.595,1.1495,0.505,11
I,0.31,0.23,0.0505,0.038,6
I,0.315,0.235,0.051,0.0405,4
I,0.32,0.205,0.088,0.0495,5
