sex,length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight
I,415,325,0.1,313,139,0.0625,0.0965
I,425,315,0.08,303,131,0.0585,95
I,0.45,0.34,95,0.3245,0.1385,64,105
I,0.45,335,0.11,0.4195,181,85,0.1345
I,0.46,355,0.11,0.4255,0.2015,81,0.13
I,465,0.37,0.12,0.4365,188,0.0815,147
I,465,345,0.11,393,0.1825,0.0735,0.12
I,0.47,355,125,499,0.21,0.0985,155
I,475,0.36,145,0.6325,0.2825,137,0.19
I,475,0.36,125,0.4905,205,0.1305,125
I,0.48,0.37,125,474,179,0.1035,175
I,0.48,0.37,0.12,536,251,114,0.15
M,0.48,355,0.16,464,221,106,239
I,0.49,0.4,135,624,0.3035,0.1285,169
I,495,0.4,105,602,0.2505,0.1265,0.19
I,0.5,375,0.14,559,0.2375,135,169
I,0.51,395,0.13,0.6025,281,143,162
I,515,0.36,125,0.4725,0.1815,125,138
I,515,0.35,105,0.4745,213,123,0.1275
I,515,395,125,0.6635,0.32,0.14,0.17
I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895
M,525,415,145,845,0.3525,0.1635,0.2875
I,525,0.39,0.12,664,0.3115,147,178
I,525,0.38,135,615,261,159,175
I,525,0.4,0.14,654,305,0.16,169
M,525,0.4,155,707,282,0.1605,225
I,0.53,0.42,0.12,0.5965,0.2555,141,177
I,0.53,0.43,135,0.6255,245,0.1455,0.2135
I,0.53,0.42,0.13,0.8365,0.3745,167,249
I,535,0.4,0.13,657,0.2835,162,175
I,0.54,0.43,0.17,836,0.3725,0.1815,0.24
I,0.54,425,0.14,742,0.32,0.1395,0.25
M,0.54,455,0.14,972,419,255,269
I,0.54,0.42,0.14,0.6275,0.2505,0.1175,235
I,0.54,425,0.13,0.7205,0.2955,169,225
I,0.54,425,135,686,0.3475,0.1545,213
I,545,0.4,0.13,686,0.3285,0.1455,0.18
M,0.55,435,0.14,0.7625,327,0.1685,259
I,0.55,425,0.15,639,269,0.1345,217
I,0.55,425,0.15,0.7665,339,176,0.21
I,555,395,0.13,0.5585,222,0.1245,0.17
I,555,435,0.14,765,0.3945,0.15,206
I,555,0.46,145,0.9005,0.3845,158,0.2765
I,0.56,445,0.15,0.8225,0.3685,187,236
M,0.56,425,135,849,0.3265,221,0.2645
M,565,0.44,125,802,0.3595,0.1825,215
M,565,0.43,0.15,831,0.4245,0.1735,219
F,0.57,0.45,135,0.7805,0.3345,185,0.21
I,0.57,435,0.17,848,0.4,166,0.25
I,0.57,445,155,867,0.3705,0.1705,0.28
I,0.57,445,145,0.7405,306,172,0.1825
M,575,455,165,867,0.3765,0.1805,268
I,575,425,135,0.7965,364,196,239
F,575,0.47,155,1116,509,238,0.34
I,575,0.45,125,0.78,0.3275,188,235
M,575,0.47,185,985,0.3745,0.2175,355
F,575,465,195,0.9965,417,247,0.47
I,575,0.45,135,807,0.3615,176,254
F,575,435,0.15,1.0305,0.4605,218,0.36
M,575,445,0.16,839,0.4005,198,239
M,0.58,0.43,0.13,798,365,173,0.2285
I,0.58,445,125,0.7095,303,0.1405,235
F,585,445,0.14,913,0.4305,0.2205,253
M,0.59,0.49,165,1207,559,235,309
I,0.59,0.45,145,1022,428,268,265
I,0.59,0.46,145,0.9015,419,0.1785,0.26
M,595,0.45,0.14,838,0.3965,194,217
I,595,0.46,0.15,0.8335,377,0.1925,235
F,0.6,0.46,155,0.9735,427,0.2045,0.3
F,0.6,475,0.15,1.13,575,196,305
M,0.6,0.48,165,0.9165,0.4135,0.1965,0.2725
F,0.6,0.48,0.18,1.0645,0.4495,0.2455,325
M,0.6,0.47,165,1059,504,241,275
M,0.6,0.47,0.16,1194,0.5625,0.3045,0.2635
F,605,455,145,0.9775,468,0.1775,275
I,605,0.47,145,0.8025,379,0.2265,0.22
F,605,0.48,0.14,991,0.4735,0.2345,0.24
F,605,0.47,155,974,393,224,0.3345
F,605,505,0.18,1434,0.7285,264,431
M,0.61,475,155,983,0.4565,228,266
F,0.61,485,0.15,1.2405,0.6025,0.2915,0.3085
F,0.61,475,0.16,1.1155,0.3835,223,379
I,0.61,465,125,0.9225,436,0.19,0.26
M,0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31
M,615,0.47,0.16,1.0175,473,0.2395,0.28
M,615,475,175,1224,0.6035,261,311
I,0.62,485,0.18,1154,0.4935,256,315
M,0.62,515,175,1221,535,241,395
F,0.62,0.54,165,1139,0.4995,0.2435,357
I,0.62,0.49,0.16,1066,446,246,305
F,0.62,0.48,0.18,1.2215,582,0.2695,313
I,0.62,0.47,0.14,0.8565,0.3595,0.16,295
I,0.62,0.45,135,924,358,0.2265,0.2965
M,0.62,0.48,0.15,1266,0.6285,0.2575,309
F,0.62,0.48,175,1.0405,464,0.2225,0.3
M,625,0.49,165,1.1165,0.4895,0.2615,0.3325
M,625,475,0.16,1.0845,0.5005,0.2355,0.3105
M,625,0.5,0.17,1.0985,0.4645,0.22,354
I,625,0.47,155,1.1955,643,0.2055,0.3145
F,625,485,175,1362,0.6765,0.2615,0.3705
I,625,485,0.15,1044,438,0.2865,278
M,0.63,505,0.17,1.0915,0.4615,266,0.3
F,0.63,0.5,0.18,1.1965,514,0.2325,0.3995
M,0.63,485,165,1233,0.6565,0.2315,0.3035
M,0.63,495,175,1.2695,605,271,328
I,635,0.5,165,1489,715,0.3445,0.3615
M,635,0.5,0.17,1.4345,611,309,418
F,635,0.49,175,1.2435,0.5805,313,305
F,635,0.49,0.17,1.2615,0.5385,0.2665,0.38
F,0.64,505,165,1.2235,0.5215,0.2695,0.36
M,0.64,515,0.18,1247,0.5475,0.2925,0.3685
M,0.64,525,185,1707,763,0.4205,0.4435
M,645,505,0.15,1.1605,519,0.2615,335
M,645,0.5,175,1286,0.5645,288,386
M,645,0.5,0.19,1.5595,741,0.3715,0.3845
M,645,0.51,0.19,1.4745,605,345,0.48
M,645,0.51,195,1226,0.5885,0.2215,0.3745
M,645,0.51,0.16,1.33,0.6665,309,317
M,645,0.5,175,1.3375,554,308,415
F,645,0.51,0.19,1363,573,362,0.36
M,645,485,0.15,1.2215,0.5695,0.2735,0.33
F,0.65,495,155,1337,615,0.3195,335
M,0.65,505,0.19,1274,0.59,0.23,391
M,0.65,525,185,1488,665,337,378
M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665
F,655,505,195,1.4405,688,0.3805,363
M,0.66,0.5,165,1.3195,667,269,341
F,0.66,535,175,1.5175,711,0.3125,415
M,0.66,0.53,195,1.5505,0.6505,0.3295,495
M,665,525,175,1443,0.6635,0.3845,353
M,665,505,0.16,1289,0.6145,253,0.3665
F,665,505,0.16,1.2915,631,0.2925,0.32
M,665,0.52,175,1.3725,606,0.32,395
M,665,0.5,175,1.2975,0.6075,314,315
M,0.67,505,0.16,1.2585,0.6255,311,308
M,0.67,0.52,165,1.39,711,0.2865,0.3
F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275
F,0.67,0.54,195,1619,0.74,0.3305,465
M,675,525,0.16,1.2835,572,0.2755,0.3545
F,675,0.51,195,1382,0.6045,0.3175,0.3965
M,0.68,0.52,195,1.4535,592,391,0.4125
F,0.69,0.55,0.2,1569,687,0.3675,0.46
M,0.7,565,175,1.8565,0.8445,0.3935,0.54
F,0.7,535,175,1773,0.6805,0.48,512
F,705,545,0.17,1.58,0.6435,0.4565,265
M,0.71,575,215,2009,0.9895,0.4475,502
F,0.71,0.54,205,1.5805,802,287,435
M,0.71,0.56,0.22,2015,0.9215,454,566
M,0.72,0.55,205,2125,1.1455,0.4425,511
F,0.72,525,0.18,1445,631,0.3215,435
F,725,565,0.21,2.1425,1.03,487,503
F,0.73,0.56,0.19,1.9425,799,0.5195,0.5655
M,735,0.59,215,1747,0.7275,403,557
F,0.74,565,205,2119,0.9655,0.5185,482
M,0.75,595,205,2.2205,1083,421,0.63
I,275,175,0.09,0.2315,96,57,0.0705
I,375,245,0.1,394,166,91,0.1125
F,375,0.27,135,597,272,131,0.1675
M,0.39,0.28,125,564,0.3035,0.0955,143
I,435,0.3,0.12,0.5965,259,139,0.1645
I,455,335,105,422,229,0.0865,0.1
I,455,325,135,0.82,0.4005,0.1715,211
I,455,345,0.11,434,207,0.0855,0.1215
I,485,365,105,0.5205,195,123,182
M,485,0.37,155,968,419,0.2455,0.2365
I,485,345,0.16,869,0.3085,185,319
M,0.5,0.37,0.15,1.0615,494,223,296
M,515,395,135,1007,472,0.2495,252
F,535,425,135,771,0.3765,0.1815,0.1795
I,535,385,0.18,1.0835,0.4955,0.2295,304
I,545,0.42,165,0.8935,0.4235,0.2195,228
F,545,415,0.2,1358,567,318,403
F,545,385,0.15,1.1185,0.5425,0.2445,0.2845
F,0.55,0.38,165,1205,543,294,0.3345
M,0.55,0.42,0.16,1.3405,0.6325,311,344
I,575,0.45,0.13,0.8145,403,0.1715,213
I,585,0.45,0.15,0.8915,0.3975,0.2035,253
M,0.6,495,175,1.3005,0.6195,284,0.3285
M,0.6,465,165,1038,0.4975,0.2205,251
M,605,475,175,1.2525,0.5575,0.3055,343
M,605,475,0.15,1.15,575,232,297
F,0.61,475,0.15,1.1135,0.5195,0.2575,0.3005
M,0.62,0.47,145,1.0865,511,0.2715,0.2565
M,625,0.49,185,1169,0.5275,0.2535,344
F,635,475,0.15,1.1845,533,307,291
F,0.64,475,0.14,1.0725,0.4895,0.2295,0.31
M,645,0.5,0.16,1.3815,672,326,315
M,0.65,525,0.19,1.6125,777,0.3685,0.3965
M,0.65,485,0.16,1.7395,0.5715,0.2785,0.3075
F,655,0.52,0.2,1.5475,713,314,466
M,655,545,0.19,1.4245,0.6325,333,378
F,675,0.53,175,1.4465,0.6775,0.33,389
F,695,0.55,185,1679,805,0.4015,0.3965
F,705,545,0.18,1.5395,0.6075,0.3675,0.4645
F,0.72,0.55,195,2073,1.0715,0.4265,0.5015
M,0.72,0.56,0.18,1.5865,691,375,0.4425
M,0.73,575,0.21,2069,0.9285,409,643
I,185,135,0.04,27,0.0105,0.0055,9
I,0.31,215,75,0.1275,0.0565,0.0275,36
I,0.34,0.26,85,0.1885,0.0815,0.0335,0.06
I,0.35,265,0.08,0.2,0.09,42,0.06
I,365,0.27,85,197,0.0815,0.0325,65
I,365,275,85,223,98,0.0375,75
I,365,0.27,75,0.2215,95,0.0445,0.07
I,405,0.3,0.09,269,103,67,0.11
I,415,0.31,0.1,0.2805,114,0.0565,0.0975
I,415,0.31,95,311,0.1125,0.0625,115
I,0.42,325,0.1,368,0.1675,0.0625,0.1135
I,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12
I,435,0.33,0.11,0.38,0.1515,0.0945,0.11
I,435,0.33,105,335,156,0.0555,105
I,435,345,0.12,0.3215,0.13,56,0.1185
I,445,0.33,0.11,358,0.1525,67,0.1185
I,485,0.36,0.12,0.5155,0.2465,0.1025,147
I,485,0.37,115,457,0.1885,0.0965,0.15
I,495,0.38,145,0.5,205,148,0.1505
I,0.5,0.38,0.11,0.5605,0.28,106,0.15
I,505,405,0.13,599,0.2245,0.1175,225
I,505,0.4,145,0.7045,334,0.1425,207
I,0.52,395,125,0.5805,0.2445,146,165
I,525,415,0.12,596,0.2805,0.12,0.1695
I,525,0.4,145,0.6095,248,159,175
I,0.53,0.43,0.14,677,298,0.0965,0.23
I,0.53,0.43,0.16,0.7245,321,0.1275,0.24
I,0.53,395,0.13,575,247,115,183
I,535,455,0.14,1.0015,0.53,0.1765,244
F,0.54,425,0.16,0.9455,0.3675,0.2005,295
I,0.54,0.39,125,0.6255,0.2525,158,0.19
I,545,0.43,0.14,687,0.2615,0.1405,0.25
M,555,0.41,125,599,0.2345,0.1465,194
M,555,0.4,0.13,0.7075,332,0.1585,0.18
I,555,0.45,175,738,304,0.1755,0.22
M,555,455,135,837,382,171,235
I,0.56,445,165,832,0.3455,179,279
F,565,445,125,0.8305,0.3135,0.1785,0.23
M,565,455,155,0.9355,421,183,0.26
I,565,435,145,0.8445,0.3975,158,255
M,565,0.45,0.16,895,415,195,246
I,565,0.46,155,0.8715,0.3755,215,0.25
M,0.57,455,155,832,0.3585,174,277
M,0.57,415,0.13,0.88,0.4275,0.1955,238
F,0.57,0.44,0.12,803,382,0.1525,234
M,575,0.45,155,0.9765,495,0.2145,235
M,575,435,135,992,432,0.2225,239
M,575,455,155,1013,0.4685,0.2085,295
M,575,445,145,876,0.3795,0.1615,0.27
M,575,475,145,857,0.3665,173,269
F,0.58,0.45,195,0.8265,0.4035,173,225
F,0.58,0.5,165,925,0.37,185,0.3005
M,595,455,0.15,886,0.4315,201,223
M,0.6,0.46,0.17,1.1805,456,337,329
M,0.6,475,0.15,0.99,386,0.2195,0.3105
F,0.6,465,0.16,1133,466,0.2885,298
I,605,0.49,165,1071,482,0.1935,352
F,605,455,145,862,334,0.1985,0.3
M,0.61,0.48,0.14,1031,0.4375,0.2615,0.27
F,0.61,0.46,145,1.1185,478,0.2945,0.2985
F,0.61,0.46,155,957,0.4255,0.1975,265
F,0.61,0.47,165,1.1785,566,0.2785,294
M,615,0.47,145,1.0285,0.4435,0.2825,285
M,615,0.47,0.15,1.0875,0.4975,283,0.2685
F,615,495,0.16,1255,0.5815,0.3195,0.3225
M,615,495,0.2,1219,564,227,0.3885
M,0.62,0.49,0.15,1195,0.4605,302,355
F,0.62,495,0.17,1062,372,213,0.34
M,0.62,0.47,0.15,1309,587,0.4405,325
M,625,495,155,1.0485,487,212,0.3215
M,625,515,0.17,1331,0.5725,0.3005,361
M,625,505,185,1.1565,0.52,0.2405,0.3535
F,625,0.52,0.18,1354,0.4845,351,375
F,625,0.47,145,984,475,0.2,265
M,0.63,0.49,155,1.2525,0.63,246,289
F,635,485,165,1.2695,0.5635,0.3065,0.3395
F,635,0.52,165,1.3405,0.5065,296,412
F,635,505,155,1.2895,594,314,345
M,635,0.5,165,1273,0.6535,213,365
M,635,515,165,1229,0.5055,0.2975,0.3535
M,0.64,0.53,165,1.1895,0.4765,0.3,0.35
F,0.64,0.48,145,1.1145,508,0.24,0.34
F,0.64,515,165,1.3115,0.4945,0.2555,0.41
I,0.64,0.49,135,1.1,488,0.2505,0.2925
M,0.64,0.49,155,1.1285,477,269,0.34
F,0.64,485,185,1.4195,0.6735,0.3465,0.3255
F,645,0.51,0.18,1.6195,0.7815,322,0.4675
M,645,0.49,175,1.32,0.6525,0.2375,0.3385
F,645,0.52,0.21,1.5535,616,0.3655,474
I,0.65,0.52,0.15,1238,0.5495,296,0.3305
F,0.65,0.51,155,1189,483,278,0.3645
F,0.65,0.51,185,1375,531,384,0.3985
F,655,525,175,1348,0.5855,0.2605,394
M,655,0.52,0.17,1.1445,0.53,223,348
F,0.66,535,205,1.4415,0.5925,0.2775,0.49
M,0.66,0.51,175,1218,0.5055,303,0.37
F,665,0.5,0.15,1.2475,0.4625,0.2955,0.3595
M,665,515,0.2,1.2695,0.5115,0.2675,436
M,675,515,0.15,1312,556,0.2845,0.4115
M,0.68,0.54,0.19,1623,0.7165,354,0.4715
M,0.68,0.54,155,1534,671,379,384
M,695,545,185,1.5715,0.6645,0.3835,0.4505
F,0.7,575,205,1773,605,447,538
F,0.72,575,0.18,1.6705,732,0.3605,501
M,0.72,565,0.19,2081,1.0815,0.4305,503
F,725,0.57,205,1.6195,744,315,488
F,0.75,0.55,195,1.8325,0.83,366,0.44
M,0.76,605,215,2173,801,0.4915,646
I,135,0.13,0.04,29,0.0125,0.0065,8
I,0.29,0.21,0.06,0.1195,56,0.0235,0.03
I,0.29,0.21,65,97,0.0375,22,0.03
I,325,0.25,0.07,0.1745,0.0875,0.0355,0.04
I,355,0.27,105,271,0.1425,0.0525,0.0735
I,0.36,0.27,85,0.2185,0.1065,38,62
I,0.36,0.27,85,196,0.0905,34,53
I,375,0.28,0.08,226,105,47,65
I,375,275,85,0.22,109,0.05,0.0605
I,395,0.29,95,0.3,158,68,78
I,415,325,0.11,316,0.1385,0.0795,0.0925
I,0.43,0.32,0.11,0.3675,0.1675,102,105
I,435,325,0.12,346,159,84,95
M,0.45,0.33,105,0.4955,0.2575,82,129
M,0.47,365,135,522,0.2395,0.1525,145
I,0.47,375,105,441,167,0.0865,145
M,505,0.39,0.12,653,0.3315,0.1385,167
M,505,385,115,0.4825,0.21,0.1035,0.1535
M,515,0.4,0.14,0.6335,288,145,168
F,0.53,0.43,0.15,741,325,0.1855,196
F,0.53,405,0.13,0.6355,0.2635,0.1565,185
M,545,0.44,0.14,0.8395,356,0.1905,0.2385
F,0.57,435,0.15,0.8295,0.3875,156,245
M,0.58,0.46,0.16,1063,513,0.2705,0.2625
M,0.59,465,165,1115,0.5165,273,275
F,0.6,0.45,0.14,837,0.37,177,0.2425
M,605,445,0.14,982,0.4295,0.2085,295
F,625,515,0.18,1.3485,0.5255,252,0.3925
M,0.66,515,195,1.5655,0.7345,353,386
I,255,0.19,0.06,86,0.04,0.0185,25
I,0.28,215,0.08,132,72,22,33
I,285,215,0.07,0.1075,51,0.0225,27
I,385,0.28,0.1,0.2755,0.1305,61,0.0725
I,395,295,0.1,293,0.14,62,82
F,0.4,305,0.16,368,173,0.0705,105
I,415,305,0.12,336,165,76,0.0805
I,0.42,315,115,355,0.1895,65,87
I,445,0.32,0.12,378,152,0.0825,0.12
M,0.45,0.35,0.13,0.4655,0.2075,0.1045,135
F,455,355,1.13,594,332,116,0.1335
M,0.46,345,0.12,0.4935,0.2435,0.1175,132
M,465,0.36,0.11,0.4955,0.2665,85,121
I,465,355,0.09,0.4325,0.2005,74,0.1275
I,0.48,0.35,135,0.5465,0.2735,0.0995,158
M,485,0.39,135,617,0.25,0.1345,0.1635
I,0.49,0.37,0.11,538,271,0.1035,139
M,0.5,0.39,135,0.7815,361,0.1575,0.2385
F,0.5,0.38,0.14,0.6355,277,143,0.1785
M,525,385,0.1,0.5115,246,0.1005,0.1455
M,535,0.42,125,738,355,0.1895,0.1795
F,535,0.42,0.13,699,0.3125,0.1565,0.2035
F,0.54,0.42,0.13,0.7505,368,0.1675,0.1845
M,0.55,0.41,0.13,0.8705,0.4455,0.2115,213
I,0.55,0.42,115,668,0.2925,137,209
F,565,0.44,135,0.83,393,0.1735,238
M,0.58,0.45,0.12,0.8685,418,0.1475,0.2605
F,0.58,435,0.15,839,0.3485,207,192
F,585,485,0.15,1079,0.4145,0.2115,356
M,595,465,0.15,919,0.4335,0.1765,262
F,0.62,0.49,0.16,1056,493,244,0.2725
M,0.65,0.5,0.14,1238,0.6165,0.2355,0.32
M,685,0.55,0.2,1.7725,813,387,0.49
F,0.69,0.54,195,1.2525,0.73,0.3975,462
F,705,0.57,185,1761,747,0.3725,488
F,0.72,575,215,2.1,0.8565,0.4825,602
M,775,0.57,0.22,2032,735,0.4755,0.6585
F,505,0.39,115,0.66,0.3045,0.1555,175
M,0.53,425,0.13,0.7455,0.2995,0.1355,245
F,505,385,115,616,243,0.1075,0.21
M,415,0.3,0.1,0.3355,0.1545,0.0685,95
M,0.5,0.39,145,651,273,132,0.22
M,0.47,0.35,0.1,0.4775,0.1885,0.0885,175
F,0.4,0.31,115,0.3465,0.1475,0.0695,115
I,0.37,0.29,0.1,0.25,0.1025,0.0505,85
M,0.5,0.38,155,0.66,0.2655,0.1365,215
I,0.41,0.31,0.11,315,124,82,95
M,375,0.29,0.1,276,0.1175,0.0565,85
F,0.49,385,125,0.5395,0.2175,128,165
M,585,0.48,185,1.04,434,265,285
F,675,0.55,0.18,1.6885,562,0.3705,0.6
M,665,535,225,2.1835,0.7535,391,885
M,0.62,0.49,0.17,1.2105,0.5185,0.2555,335
I,455,355,0.08,452,0.2165,0.0995,125
I,385,0.29,0.09,232,0.0855,0.0495,0.08
I,0.13,95,35,0.0105,5,0.0065,0.0035
I,0.18,0.13,45,0.0275,0.0125,0.01,9
I,0.31,225,0.05,0.1445,0.0675,0.0385,45
F,375,0.29,0.08,282,0.1405,0.0725,0.08
F,0.48,0.38,0.12,608,0.2705,0.1405,185
I,455,0.37,125,433,201,0.1265,145
M,425,325,0.1,0.3295,0.1365,0.0725,0.11
F,435,0.35,0.12,0.4585,192,0.1,0.13
M,385,295,95,335,147,94,0.09
M,0.47,375,115,0.4265,0.1685,0.0755,0.15
F,0.5,0.4,125,0.5765,0.2395,126,185
M,595,0.47,0.15,0.8915,359,0.2105,245
M,585,455,0.14,0.97,462,185,295
M,0.32,0.24,0.08,0.18,0.08,0.0385,55
F,0.52,0.41,125,0.6985,0.2945,0.1625,215
F,0.44,0.33,115,0.4005,143,113,0.12
M,565,425,0.1,0.7145,0.3055,166,0.18
F,0.56,425,125,932,361,213,335
F,0.57,465,0.18,0.9995,405,277,295
M,0.68,0.53,205,1496,0.5825,337,465
F,0.45,0.36,125,0.5065,222,105,0.16
I,0.32,0.24,75,0.1735,76,0.0355,0.05
I,0.46,0.35,0.11,0.3945,0.1685,0.0865,125
M,0.47,0.37,105,0.4665,0.2025,0.1015,155
M,455,0.35,105,401,0.1575,83,135
F,415,325,115,0.3455,0.1405,0.0765,0.11
M,465,0.35,0.12,0.5205,0.2015,0.1625,185
M,0.46,375,135,0.4935,186,0.0845,0.17
M,415,0.31,0.09,0.3245,0.1305,0.0735,115
F,745,585,0.19,1966,0.8435,437,0.5855
I,0.28,0.2,75,0.1225,0.0545,0.0115,35
M,0.55,0.44,135,879,368,0.2095,265
M,0.58,0.46,165,1.2275,473,0.1965,435
M,0.61,0.5,165,1.2715,0.4915,185,0.49
M,0.62,495,175,1806,643,0.3285,725
M,0.56,0.42,195,0.8085,0.3025,0.1795,285
F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41
F,715,565,0.24,2.1995,0.7245,465,885
F,0.71,565,195,1817,785,492,0.49
F,0.55,0.47,0.15,897,377,184,0.29
I,0.38,0.28,85,0.2735,115,61,85
F,0.37,275,85,0.2405,104,0.0535,0.07
M,285,0.21,75,0.1185,55,0.0285,0.04
I,0.19,0.13,0.03,0.0295,0.0155,15,0.01
I,215,0.15,0.03,0.0385,0.0115,5,0.01
M,595,465,125,799,0.3245,0.2,0.23
F,645,0.5,0.17,1.1845,0.4805,274,355
F,0.58,0.45,235,1071,0.3,206,395
F,595,0.48,0.2,975,358,0.2035,0.34
F,625,0.42,165,1.0595,358,165,445
M,535,0.42,165,0.9195,0.3355,0.1985,0.26
M,495,0.4,155,0.8085,0.2345,0.1155,0.35
I,0.32,235,0.08,0.1485,64,31,45
M,445,0.34,0.12,0.4475,193,0.1035,0.13
F,0.52,0.4,125,0.6865,295,0.1715,185
F,0.49,0.37,0.14,585,243,115,195
M,0.58,0.47,165,927,0.3215,0.1985,315
M,645,495,185,1.4935,0.5265,0.2785,455
I,0.43,325,0.11,0.3675,0.1355,0.0935,0.12
I,0.26,215,0.08,99,37,0.0255,45
I,0.37,0.28,0.09,233,0.0905,0.0545,0.07
I,405,305,105,0.3625,0.1565,0.0705,125
I,0.27,0.19,0.08,81,0.0265,0.0195,0.03
F,0.68,0.55,0.2,1596,525,0.4075,585
F,0.65,515,195,1.4005,0.5195,0.36,0.44
F,645,0.49,215,1406,0.4265,0.2285,0.51
M,0.57,405,0.16,0.9245,0.3445,0.2185,295
M,615,0.48,0.19,1.36,0.5305,0.2375,0.47
M,0.42,345,105,0.43,175,96,0.13
M,0.42,0.34,115,0.4215,175,93,135
F,625,525,215,1.5765,0.5115,0.2595,665
F,0.55,465,0.18,1.2125,0.3245,205,525
M,565,0.47,195,1142,387,258,0.35
M,0.63,0.51,0.23,1539,0.5635,0.2815,0.57
F,0.43,325,0.12,445,165,0.0995,155
I,0.33,0.26,0.08,0.19,0.0765,0.0385,65
M,495,0.39,0.15,853,0.3285,189,0.27
F,485,375,145,0.5885,0.2385,0.1155,0.19
F,535,0.46,145,0.7875,0.3395,0.2005,0.2
F,625,525,195,1352,0.4505,0.2445,0.53
F,555,455,0.18,958,296,195,0.39
F,0.55,425,145,797,297,0.15,265
M,0.59,475,155,857,356,174,0.28
I,355,0.28,0.11,0.2235,0.0815,0.0525,0.08
I,275,0.2,75,86,0.0305,19,0.03
M,0.37,0.28,95,0.2225,0.0805,51,75
F,0.56,445,0.18,903,0.3575,0.2045,295
F,0.57,0.45,165,903,0.3305,0.1845,295
F,0.56,435,185,1106,422,0.2435,0.33
M,585,465,0.19,1171,0.3905,0.2355,0.4
I,0.46,335,0.11,444,225,0.0745,0.11
F,0.46,0.36,115,0.4755,0.2105,105,0.16
M,415,315,125,388,68,0.09,125
F,435,0.32,0.12,0.3785,152,0.0915,125
I,355,0.28,0.1,0.2275,0.0935,0.0455,85
M,0.46,375,0.14,0.5105,192,0.1045,205
F,0.38,325,0.11,0.3105,0.12,74,105
F,0.47,365,0.12,543,0.2295,0.1495,0.15
M,0.36,0.27,0.09,0.2225,83,53,75
F,585,455,165,998,345,0.2495,315
M,655,0.59,0.2,1.5455,654,0.3765,415
F,0.57,0.46,0.17,1.1,0.4125,0.2205,0.38
F,645,0.5,0.2,1.4285,639,305,0.36
M,0.65,495,0.18,1793,0.8005,339,0.53
M,0.51,395,145,0.6185,216,0.1385,0.24
M,0.52,0.38,135,0.5825,0.2505,0.1565,175
M,495,415,165,0.7485,264,134,285
M,0.43,335,115,406,166,0.0935,135
M,0.55,0.46,175,869,0.3155,0.1825,0.32
M,585,0.43,0.16,955,0.3625,176,0.27
I,0.59,0.45,0.16,893,0.2745,0.2185,345
F,0.72,575,215,2226,0.8955,405,0.62
F,0.61,0.48,175,1.0675,391,216,0.42
M,0.57,0.45,0.16,0.8615,0.3725,0.2175,255
F,0.6,475,0.18,1162,511,0.2675,0.32
F,0.52,0.41,0.17,0.8705,0.3735,219,0.25
M,635,0.51,0.21,1598,0.6535,0.2835,0.58
F,0.67,0.52,0.15,1406,519,348,0.37
M,655,525,185,1259,487,0.2215,445
F,0.62,0.48,0.23,1.0935,403,245,355
F,0.6,475,0.18,1.1805,0.4345,0.2475,425
M,0.44,375,0.13,487,226,0.0965,155
I,485,415,0.14,0.5705,0.25,134,185
F,495,385,0.13,0.6905,0.3125,179,175
I,435,345,0.12,0.4475,221,112,125
I,405,315,105,347,0.1605,0.0785,0.1
I,0.42,0.33,0.1,352,0.1635,89,0.1
F,0.5,395,0.15,0.7145,0.3235,173,195
F,385,305,105,0.3315,0.1365,0.0745,0.1
I,0.33,265,0.09,0.18,68,36,0.06
I,325,0.27,0.1,185,0.08,0.0435,65
M,475,375,0.12,563,0.2525,0.1205,185
F,0.38,0.3,0.09,0.3215,0.1545,75,95
I,0.34,0.26,0.09,179,76,0.0525,55
M,525,425,0.12,702,0.3335,0.1465,0.22
F,0.52,415,145,0.8045,0.3325,0.1725,285
F,535,0.45,135,0.8075,322,181,0.25
M,475,0.36,0.12,578,0.2825,0.12,0.17
I,415,325,0.1,385,167,0.08,125
F,0.48,405,0.13,0.6375,277,0.1445,0.21
F,0.52,425,0.15,813,385,0.2015,0.23
M,0.46,375,0.13,0.5735,0.2505,119,195
F,0.58,455,0.12,0.94,399,257,265
M,0.59,0.49,135,1008,422,0.2245,285
F,0.55,415,135,775,302,179,0.26
F,465,375,135,0.6,0.2225,129,0.23
M,455,355,0.13,515,0.2,0.1275,175
I,315,0.24,0.07,137,0.0545,0.0315,0.04
F,0.58,475,135,925,391,165,275
M,575,435,0.15,805,293,0.1625,0.27
F,505,385,135,0.6185,251,0.1175,0.2
F,505,395,145,0.6515,0.2695,153,205
M,0.49,395,135,0.5545,213,0.0925,215
M,0.53,435,135,0.7365,0.3275,0.1315,0.22
I,395,325,105,306,111,0.0735,95
F,665,535,0.19,1496,0.5775,0.2815,475
F,415,305,105,0.3605,0.12,82,0.1
I,0.48,0.39,145,0.5825,0.2315,121,255
I,0.42,345,115,0.3435,0.1515,0.0795,115
M,0.59,0.46,155,906,327,0.1485,335
F,515,0.42,135,0.6295,0.2815,127,215
